loan_id,borrower_id,borrower_name,co_borrower_name,loan_type,loan_purpose,property_state,property_zip,servicer_name,original_principal,current_balance,interest_rate,monthly_payment,origination_date,maturity_date,last_payment_date,next_payment_date,payment_status,days_past_due,document_status,lien_position
L000024,B1100,Thomas Miller,,JUMBO,CASH_OUT_REFINANCE,AK,30631,PNC Bank,240217.00,170929.24,7.719,1699.72,2022-09-14,2052-09-14,2025-03-11,2023-08-25,CURRENT,0,COMPLETE,SECOND
L000025,B2391,David Miller,,CONVENTIONAL,CASH_OUT_REFINANCE,RI,66349,JPMorgan Chase Bank,105164.00,45447.00,3.433,330.94,2011-02-12,2021-02-12,2014-04-01,2014-05-01,CLOSED,0,COMPLETE,SECOND
L000026,B8972,Michael Jones,,VA,CASH_OUT_REFINANCE,IN,25726,Wells Fargo Home Mortgage,,0.00,6.503,3591.73,2011-01-08,2026-01-08,2015-07-14,2015-08-13,CLOSED,0,COMPLETE,SECOND
L000027,B8055,Mary Hernandez,John Anderson,USDA,CONSTRUCTION,MN,85156,Caliber Home Loans,234229.00,171978.27,0.0332,703.17,2021-12-11,2036-12-11,2027-08-21,2027-09-20,CURRENT,0,COMPLETE,SECOND
L000028,B7636,Jessica Thompson,,CONVENTIONAL,CONSTRUCTION,NV,50668,PHH Mortgage,71869.00,-38464.59,8.297,546.61,2013-11-08,2043-11-08,2023-04-07,2023-05-07,DELINQUENT,45,INCOMPLETE,SECOND
L000029,B4630,Robert Davis,David Miller,FHA,HOME_EQUITY,MN,30036,Citimortgage,399247.00,354870.61,0.0242,2625.88,2011-09-18,2021-09-18,2017-09-29,2017-10-29,CURRENT,0,COMPLETE,FIRST
L000030,B9095,William Anderson,John Jackson,JUMBO,CASH_OUT_REFINANCE,SD,46002,SunTrust Mortgage,536490.00,0.00,7.027,3455.76,2022-12-31,2022-06-04,2030-09-19,2030-10-19,PAID_OFF,0,MISSING,FIRST
L000031,B9312,John White,,JUMBO,CONSTRUCTION,TN,86064,Nationstar Mortgage,127794.00,62184.57,4.362,510.98,2027-05-12,2030-02-20,2020-11-09,2020-12-09,CURRENT,0,INCOMPLETE,FIRST
L000032,B4084,John Martin,,CONVENTIONAL,REFINANCE,MI,67377,Freedom Mortgage,387145.00,24848.00,6.13,2175.43,2021-03-31,2036-03-31,2032-01-25,2032-02-24,CLOSED,0,MISSING,FIRST
L000033,B7108,Richard Martinez,Lisa Jones,VA,PURCHASE,MI,86380,Flagstar Bank,346635.00,179391.26,4.824,1532.82,2017-08-03,2027-08-03,2026-07-09,2026-08-08,CURRENT,23,COMPLETE,FIRST
L000034,B6082,William Jones,,FIXED,HOME_EQUITY,OK,22249,Flagstar Bank,737923.00,262012.37,6.691,4525.99,2018-10-16,2033-10-16,2025-07-18,2025-08-17,DELINQUENT,80,,SECOND
L000035,B9331,Robert Jones,Patricia Martin,FIXED,HOME_EQUITY,NY,79013,Wells Fargo Home Mortgage,429404.00,41503.00,2.609,1026.96,2016-12-05,2031-12-05,2027-09-04,2027-10-04,CLOSED,0,COMPLETE,SECOND
L000036,B3147,Jessica Taylor,,FHA,CONSTRUCTION,HI,90031,US Bank,676258.00,477493.14,4.76,2950.74,2013-08-22,2028-08-22,2023-01-17,2023-02-16,UNKNOWN,32,COMPLETE,SECOND
L000037,B9749,Richard Martin,,FHA,REFINANCE,NH,89254,Bank of America,,201759.01,4.357,1201.31,2020-07-09,2035-07-09,2024-09-22,2024-10-22,DELINQUENT,48,COMPLETE,SECOND
L000038,B1854,Jennifer Wilson,,USDA,REFINANCE,ME,67340,JPMorgan Chase Bank,,0.00,5.384,3564.91,2018-04-29,2028-04-29,2026-05-20,2026-06-19,PAID_OFF,0,COMPLETE,FIRST
L000039,B8391,James Anderson,,FIXED,CASH_OUT_REFINANCE,CO,29142,Bank of America,416566.00,188810.93,8.083,3086.51,2019-04-22,2029-04-22,2025-04-19,2023-11-30,CURRENT,0,COMPLETE,FIRST
L000040,B8740,Robert Lee,,USDA,HOME_EQUITY,KY,65476,JPMorgan Chase Bank,779884.00,274126.69,7.487,5352.41,2020-07-09,2050-07-09,2027-07-03,2027-08-02,CURRENT,16,COMPLETE,SECOND
L000041,B5934,Thomas Thompson,Robert Martinez,JUMBO,PURCHASE,RI,90584,PNC Bank,,157918.51,2.786,453.99,2019-06-02,2049-06-02,2020-03-15,2020-04-14,CURRENT,0,COMPLETE,FIRST
L000042,B7825,Karen Smith,,JUMBO,PURCHASE,DC,93318,Caliber Home Loans,246412.00,-0.00,6.486,1465.04,2011-12-03,2031-12-03,2012-10-05,2012-11-04,CLOSED,0,MISSING,SECOND
L002509,B5155,William Jones,Karen Anderson,FIXED,REFINANCE,WY,99742,Freedom Mortgage,67031.00,47482.55,4.643,285.29,2011-07-08,2031-07-08,2014-04-20,2014-05-20,DELINQUENT,78,COMPLETE,SECOND
L000044,B3986,Barbara Martin,,FIXED,HOME_EQUITY,ZZ,72049,US Bank,191403.00,155844.34,2.879,505.13,2020-04-07,2030-04-07,2023-08-21,2023-09-20,CURRENT,0,COMPLETE,FIRST
L000045,B5687,Richard Anderson,,JUMBO,CONSTRUCTION,MT,58148,Citimortgage,-424314.00,228795.40,7.673,2984.45,2011-01-27,2031-01-27,2014-03-21,2014-04-20,CURRENT,0,COMPLETE,SECOND
L000046,B2353,Lisa Hernandez,Joseph Taylor,JUMBO,PURCHASE,ME,56210,SunTrust Mortgage,495120.00,254069.81,2.974,1349.78,2014-01-18,2034-01-18,2017-09-24,2017-10-24,N/A,0,COMPLETE,SECOND
L000047,B1939,Lisa Moore,John Davis,FIXED,CASH_OUT_REFINANCE,AK,57467,Caliber Home Loans,128686.00,0.00,6.527,769.94,2019-02-10,2039-02-10,2025-09-02,2025-01-10,PAID_OFF,0,COMPLETE,FIRST
L000048,B8371,Patricia Smith,,JUMBO,HOME_EQUITY,LA,60723,Nationstar Mortgage,438984.00,221401.82,4.732,1904.17,2027-02-05,2026-09-22,2017-09-28,2017-10-28,CURRENT,0,COMPLETE,FIRST
L000049,B5264,Joseph Williams,,FIXED,CASH_OUT_REFINANCE,NH,97535,PNC Bank,788237.00,673420.10,5.178,3741.37,2016-05-28,2015-07-22,2018-09-24,2018-10-24,CURRENT,0,COMPLETE,FIRST
L000050,B9882,Linda Jackson,Karen Thompson,VA,CONSTRUCTION,IL,82305,Bank of America,354466.00,5308.00,7.848,2550.03,2013-07-14,2028-07-14,2022-07-07,2022-08-06,CLOSED,0,INCOMPLETE,FIRST
L000051,B6067,John Moore,,USDA,CASH_OUT_REFINANCE,FL,26821,Green Tree Servicing,467500.00,314947.89,8.498,3641.75,2020-09-26,2050-09-26,2025-09-27,2029-07-11,CURRENT,0,MISSING,FIRST
L000052,B8088,Linda Taylor,,USDA,CASH_OUT_REFINANCE,MA,20336,US Bank,577290.00,771129.95,7.964,4214.41,2011-03-30,2021-03-30,2017-02-18,2017-03-20,CURRENT,0,MISSING,FIRST
L000053,B5496,Lisa White,,USDA,PURCHASE,PA,13718,JPMorgan Chase Bank,181250.00,124097.43,6.25,1038.41,2021-12-19,2031-12-19,2024-06-26,2027-10-07,DELINQUENT,72,COMPLETE,FIRST
L000054,B5336,Barbara Jackson,Richard Martinez,JUMBO,PURCHASE,SD,17852,Bank of America,732759.00,457039.92,0.0432,2528.93,2022-10-31,2052-10-31,2029-11-04,2029-12-04,DELINQUENT,71,COMPLETE,SECOND
L000055,B8609,Susan Martin,,VA,REFINANCE,MN,71141,JPMorgan Chase Bank,,205136.60,4.541,1098.64,2013-03-22,2033-03-22,2022-12-18,2023-01-17,DELINQUENT,38,MISSING,SECOND
L000056,B8366,Jennifer Anderson,,ARM,CASH_OUT_REFINANCE,KS,34881,Citimortgage,,216971.26,3.345,950.42,2011-02-19,2031-02-19,2021-10-26,2021-11-25,CURRENT,0,MISSING,FIRST
L000057,B9163,Michael Thompson,,CONVENTIONAL,CASH_OUT_REFINANCE,NJ,74866,SunTrust Mortgage,589728.00,327657.25,5.301,2865.64,2016-12-02,2016-06-09,2017-04-05,2017-05-05,CURRENT,0,MISSING,SECOND
L000058,B9793,Richard Johnson,,FHA,CASH_OUT_REFINANCE,QQ,82512,US Bank,58574.00,31498.49,7.583,407.15,2019-09-01,2034-09-01,2029-08-23,2029-09-22,CURRENT,0,COMPLETE,FIRST
L000059,B9261,Karen Taylor,,FHA,HOME_EQUITY,XX,76731,Caliber Home Loans,522230.00,0.00,7.086,3392.14,2016-04-10,2026-04-10,2017-10-19,2017-11-18,CLOSED,0,MISSING,FIRST
L000060,B1637,Jennifer Thomas,,ARM,CASH_OUT_REFINANCE,99,87820,PNC Bank,193693.00,123010.30,6.782,1204.16,2020-08-16,2050-08-16,2022-05-18,2022-06-17,DELINQUENT,50,MISSING,SECOND
L000061,B5911,James White,,ARM,HOME_EQUITY,MD,85711,Quicken Loans,,312748.81,7.394,3713.98,2018-04-06,2038-04-06,2025-11-24,2025-12-24,CURRENT,0,INCOMPLETE,FIRST
L000062,B8871,Joseph Anderson,,JUMBO,REFINANCE,VT,63788,Nationstar Mortgage,,73333.24,5.645,1183.91,2018-07-12,2033-07-12,2027-10-28,2027-11-27,DELINQUENT,31,COMPLETE,SECOND
L000063,B2020,Karen Anderson,,ARM,CASH_OUT_REFINANCE,ID,89963,Freedom Mortgage,790058.00,430531.13,3.328,2410.20,2014-08-26,2034-08-26,2025-05-30,2022-03-29,CURRENT,0,COMPLETE,FIRST
L000064,B5571,Karen Wilson,Charles Lee,JUMBO,CONSTRUCTION,MA,55237,Citimortgage,635196.00,481632.52,4.291,2498.49,2016-09-04,2036-09-04,2024-08-30,2024-09-29,CURRENT,0,,FIRST
L000065,B5758,Karen Wilson,,ARM,CASH_OUT_REFINANCE,NM,27992,JPMorgan Chase Bank,94109.00,43919.60,4.226,364.56,2011-10-10,2031-10-10,2025-06-03,2022-04-19,CURRENT,0,COMPLETE,FIRST
L000066,B1831,Robert Smith,,FHA,CONSTRUCTION,NM,95575,Freedom Mortgage,752371.00,387238.47,7.931,5469.80,2015-01-23,2030-01-23,2015-09-25,2015-10-25,CURRENT,42,COMPLETE,SECOND
L000067,B4267,Mary Garcia,,FIXED,REFINANCE,WA,14763,Green Tree Servicing,351198.00,227523.27,4.427,1425.19,2011-04-30,2021-04-30,2018-09-21,2018-10-21,CURRENT,0,,SECOND
L000068,B9116,Karen Martin,,FHA,HOME_EQUITY,XX,71344,US Bank,245361.00,169742.93,8.12,1826.30,2016-06-29,2026-06-29,2016-09-04,2016-10-04,CURRENT,0,COMPLETE,FIRST
L000069,B6417,Jennifer White,,JUMBO,CONSTRUCTION,OR,77538,PNC Bank,220387.00,179394.79,6.887,1391.32,2015-10-09,2030-10-09,2016-01-04,2016-02-03,CURRENT,26,COMPLETE,FIRST
L000070,B2562,David Anderson,,ARM,HOME_EQUITY,KS,11498,US Bank,243757.00,114446.45,8.39,1874.69,2020-09-16,2040-09-16,2031-04-15,2031-05-15,CURRENT,0,,SECOND
L000071,B4871,Patricia Martinez,,FHA,REFINANCE,VA,27507,Freedom Mortgage,115142.00,-72152.39,6.507,686.79,2020-06-09,2040-06-09,2022-04-24,2022-05-24,CURRENT,0,INCOMPLETE,FIRST
L000072,B8454,Lisa Williams,,USDA,CASH_OUT_REFINANCE,IN,20237,SunTrust Mortgage,685163.00,501307.31,4.742,2978.29,2022-04-27,2052-04-27,2025-12-05,2030-12-23,CURRENT,0,INCOMPLETE,FIRST
L000073,B9972,Charles Jackson,Thomas Moore,FIXED,PURCHASE,DE,69432,Bank of America,580041.00,370194.93,3.713,1974.22,2022-01-14,2037-01-14,2023-12-18,2024-01-17,CURRENT,0,,SECOND
L000074,B8484,Charles Williams,Susan Williams,USDA,PURCHASE,AL,19046,Freedom Mortgage,,298460.62,2.846,1673.05,2020-05-15,2040-05-15,2028-07-24,2028-08-23,CURRENT,0,COMPLETE,FIRST
L000075,B5703,Karen Jones,,VA,PURCHASE,99,33392,Nationstar Mortgage,478728.00,0.00,3.58,1571.03,2013-01-14,2043-01-14,2017-04-26,2017-05-26,CLOSED,0,COMPLETE,SECOND
L000076,B3086,Linda Moore,,VA,REFINANCE,OH,24790,Wells Fargo Home Mortgage,283507.00,185382.24,7.509,1951.45,2010-07-06,2030-07-06,2015-10-14,2015-11-13,DELINQUENT,44,,SECOND
L000077,B1256,Mary Thomas,,USDA,REFINANCE,AR,17398,Bank of America,302356.00,228924.63,3.736,1035.47,2012-04-06,2022-04-06,2017-05-08,2017-06-07,CURRENT,0,,SECOND
L000078,B4836,Barbara Wilson,Charles Garcia,ARM,CONSTRUCTION,ND,82856,Freedom Mortgage,654095.00,0.00,4.413,2645.98,2017-03-11,2032-03-11,2020-08-28,2020-09-27,CURRENT,23,COMPLETE,FIRST
L000079,B7244,Linda Martinez,,FHA,CONSTRUCTION,OH,17552,Nationstar Mortgage,599939.00,251687.21,4.412,2426.35,2019-05-04,2049-05-04,2024-12-07,2021-03-05,CURRENT,0,COMPLETE,SECOND
L000080,B9683,Michael Johnson,Lisa White,CONVENTIONAL,PURCHASE,MS,34662,Citimortgage,190606.00,171439.99,4.831,844.08,2015-09-20,2030-09-20,2019-07-03,2019-08-02,DELINQUENT,76,,FIRST
L000081,B8854,Patricia Jackson,,ARM,HOME_EQUITY,IL,36805,Caliber Home Loans,269036.00,0.00,7.717,1903.14,2017-06-20,2037-06-20,2024-07-21,2028-05-12,PAID_OFF,0,MISSING,FIRST
L000082,B6269,Sarah Anderson,,VA,CASH_OUT_REFINANCE,NY,64254,Wells Fargo Home Mortgage,346809.00,219644.80,4.784,1520.87,2021-12-20,2041-12-20,2025-09-10,2025-08-04,CURRENT,0,COMPLETE,FIRST
L000083,B1265,Linda Jackson,,ARM,CASH_OUT_REFINANCE,MO,43728,Citimortgage,323441.00,166382.07,0.0873,1725.56,2022-12-28,2052-12-28,2026-05-20,2026-06-19,CURRENT,0,COMPLETE,SECOND
L000084,B9037,Thomas Johnson,,CONVENTIONAL,PURCHASE,OH,10836,Caliber Home Loans,533214.00,329209.31,3.509,1715.13,2017-11-25,2032-11-25,2019-07-21,2019-08-20,CURRENT,41,MISSING,FIRST
L000085,B4791,Lisa Jackson,,CONVENTIONAL,PURCHASE,SD,79758,Nationstar Mortgage,121269.00,127979.17,6.743,749.57,2010-03-16,2025-03-16,2015-12-16,2016-01-15,CURRENT,0,COMPLETE,SECOND
L000086,B9673,Patricia Martin,Michael White,USDA,CASH_OUT_REFINANCE,XX,56457,US Bank,338086.00,0.00,5.714,1770.84,2016-06-06,2026-06-06,2022-02-22,2022-03-24,PAID_OFF,0,COMPLETE,SECOND
L000087,B7112,Mary Williams,,JUMBO,HOME_EQUITY,TN,72390,Wells Fargo Home Mortgage,475750.00,404917.30,0.0662,2291.29,2015-06-16,2030-06-16,2018-11-25,2018-12-25,DELINQUENT,71,MISSING,FIRST
L000088,B2354,Charles Jackson,John Wilson,USDA,HOME_EQUITY,IN,96259,Wells Fargo Home Mortgage,,188121.61,7.572,3985.10,2017-06-06,2027-06-06,2027-07-19,2027-08-18,CURRENT,0,MISSING,FIRST
L000089,B6152,Richard Lee,,FIXED,REFINANCE,KS,20279,Nationstar Mortgage,66418.00,26938.65,8.269,503.44,2013-03-27,2043-03-27,2023-09-25,2023-10-25,CURRENT,4,COMPLETE,SECOND
L000090,B2600,James Wilson,,JUMBO,CONSTRUCTION,MT,39902,PNC Bank,-508320.00,467988.85,3.893,1813.98,2011-09-15,2031-09-15,2018-07-28,2018-08-27,DEFAULT,257,MISSING,SECOND
L000091,B8075,Robert Thomas,,ARM,REFINANCE,VA,61068,PNC Bank,244760.00,200393.79,6.578,1475.86,2018-07-11,2028-07-11,2027-04-07,2027-05-07,CURRENT,7,COMPLETE,SECOND
L000092,B2499,Karen Lee,,CONVENTIONAL,PURCHASE,ID,21746,PNC Bank,55447.00,21409.73,0.0578,414.64,2019-12-23,2039-12-23,2028-08-05,2028-09-04,CURRENT,0,COMPLETE,FIRST
L000093,B6315,Jennifer Thomas,David Martinez,VA,CONSTRUCTION,QQ,29127,JPMorgan Chase Bank,453951.00,402081.85,2.574,1071.10,2019-04-13,2049-04-13,2028-02-06,2028-03-07,CURRENT,0,COMPLETE,FIRST
L000094,B5521,Michael Moore,Barbara Smith,JUMBO,CASH_OUT_REFINANCE,NY,91289,Caliber Home Loans,491557.00,613512.45,4.299,1937.10,2011-09-23,2031-09-23,2014-08-18,2014-09-17,PAID_OFF,0,COMPLETE,SECOND
L000095,B8055,William Martinez,,ARM,CONSTRUCTION,NM,85481,Citimortgage,732661.00,550917.11,0.0361,5604.55,2013-01-20,2033-01-20,2016-09-24,2016-10-24,DELINQUENT,55,COMPLETE,FIRST
L000096,B5592,Joseph Miller,,VA,PURCHASE,WY,63627,Flagstar Bank,-462022.00,0.00,4.69,1986.31,2022-08-25,2037-08-25,2029-05-15,2029-06-14,CLOSED,0,COMPLETE,SECOND
L000097,B3280,Sarah Thompson,,USDA,CONSTRUCTION,NH,81256,Wells Fargo Home Mortgage,714100.00,389215.94,4.317,2825.87,2015-09-01,2014-11-01,2023-10-08,2023-11-07,CURRENT,0,MISSING,SECOND
L000098,B2392,William Hernandez,Patricia Wilson,FHA,HOME_EQUITY,TN,77999,Nationstar Mortgage,164682.00,109693.56,7.114,1073.92,,2032-12-18,2025-04-20,2025-05-20,DELINQUENT,55,COMPLETE,FIRST
L000099,B8303,John Brown,,ARM,REFINANCE,ME,55656,US Bank,442292.00,0.00,4.847,1965.14,2027-05-15,2036-03-23,2025-03-04,2025-04-03,CLOSED,0,COMPLETE,SECOND
L000100,B4389,Patricia Smith,,ARM,PURCHASE,CA,98754,Citimortgage,596428.00,875833.70,5.398,2951.23,2020-09-05,2030-09-05,2025-09-03,2025-10-03,DELINQUENT,81,COMPLETE,FIRST
L000101,B4996,Jennifer Hernandez,,ARM,HOME_EQUITY,MT,35863,Freedom Mortgage,591058.00,354832.92,3.547,1921.78,2013-08-04,2033-08-04,2019-12-14,2020-01-13,ACTIVE,0,COMPLETE,SECOND
L000102,B1072,Michael Moore,Sarah Martin,ARM,CASH_OUT_REFINANCE,ID,88246,Caliber Home Loans,788968.00,683866.86,3.789,2740.28,,2026-03-30,2022-10-19,2022-11-18,CURRENT,0,COMPLETE,SECOND
L000103,B2871,Robert Anderson,Barbara Brown,FHA,CASH_OUT_REFINANCE,SC,28528,Nationstar Mortgage,414825.00,340321.89,4.612,1753.74,2020-04-08,2035-04-08,2029-06-23,2029-07-23,DELINQUENT,73,,SECOND
L000104,B7852,Jennifer Lee,Barbara Jones,FHA,CASH_OUT_REFINANCE,TN,69113,SunTrust Mortgage,675397.00,438532.93,3.327,2059.79,2018-08-10,2048-08-10,2025-02-04,2020-11-07,CURRENT,0,MISSING,FIRST
L000105,B1157,Charles Smith,,FHA,CASH_OUT_REFINANCE,NH,14285,US Bank,558149.00,721086.02,3.319,1698.12,2018-08-12,2048-08-12,2023-04-13,2023-05-13,DELINQUENT,35,COMPLETE,FIRST
L000106,B3755,Mary Moore,,JUMBO,PURCHASE,MS,95678,Citimortgage,529536.00,425653.46,5.894,2860.99,2021-02-09,2031-02-09,2027-08-12,2027-09-11,CURRENT,0,,FIRST
L000107,B5877,Charles Taylor,,USDA,CONSTRUCTION,KS,31755,SunTrust Mortgage,83796.00,0.00,5.198,399.27,2017-10-26,2027-10-26,2025-07-10,2022-11-27,PAID_OFF,0,COMPLETE,FIRST
L000108,B4390,Charles Wilson,,USDA,PURCHASE,VA,27771,Citimortgage,112241.00,57284.98,5.92,609.09,2021-12-09,2041-12-09,2028-09-17,2028-10-17,CURRENT,0,,SECOND
L000109,B1971,Richard Jackson,David Hernandez,JUMBO,CONSTRUCTION,KS,19898,Flagstar Bank,340794.00,173587.81,7.702,2406.06,2012-11-05,2027-11-05,2015-09-23,2015-10-23,CURRENT,0,,FIRST
L000110,B7600,John Moore,,ARM,CASH_OUT_REFINANCE,WY,18300,Citimortgage,590659.00,400626.93,0.0274,3789.52,2018-04-12,2048-04-12,2029-01-06,2029-02-05,CURRENT,0,INCOMPLETE,SECOND
L000111,B8039,Mary Johnson,Joseph Smith,CONVENTIONAL,REFINANCE,NY,67840,Freedom Mortgage,272142.00,104743.72,5.468,1364.07,,2037-03-29,2021-02-09,2021-03-11,CURRENT,0,INCOMPLETE,FIRST
L000112,B8009,David Williams,,ARM,REFINANCE,CO,16787,Caliber Home Loans,262146.00,0.00,8.474,2036.31,2012-12-16,2032-12-16,2014-10-28,2014-11-27,CURRENT,45,COMPLETE,SECOND
L000113,B4836,Joseph Smith,William Brown,FIXED,CONSTRUCTION,ZZ,27324,Freedom Mortgage,500081.00,193158.72,6.433,2948.94,2012-02-19,2022-02-19,2014-08-11,2014-09-10,CURRENT,0,COMPLETE,FIRST
L000114,B7276,Robert Jones,Charles Smith,USDA,REFINANCE,MO,67684,PNC Bank,143670.00,71047.11,6.885,906.74,2012-04-19,2011-05-04,2015-11-23,2015-12-23,CURRENT,0,INCOMPLETE,FIRST
L000115,B3480,Richard Taylor,,VA,REFINANCE,DE,42477,US Bank,481709.00,0.00,6.196,2735.95,2019-12-04,2034-12-04,2020-12-23,2021-01-22,CURRENT,16,COMPLETE,FIRST
L000116,B5668,Linda Jackson,,FHA,CONSTRUCTION,MT,93634,SunTrust Mortgage,774016.00,327114.83,2.661,1888.02,2016-10-07,2031-10-07,2022-08-27,2022-09-26,PENDING,33,COMPLETE,FIRST
L000117,B6916,John Smith,,CONVENTIONAL,CASH_OUT_REFINANCE,NM,38277,Wells Fargo Home Mortgage,381845.00,157434.96,3.292,1152.28,,2052-10-01,2026-12-05,2027-01-04,CURRENT,0,MISSING,FIRST
L000118,B7520,David Williams,,USDA,REFINANCE,OH,30365,Nationstar Mortgage,581219.00,205506.30,4.219,2247.82,2021-03-28,2051-03-28,2026-01-25,2026-02-24,ACTIVE,39,COMPLETE,SECOND
L000119,B2083,Mary Martinez,,ARM,REFINANCE,NJ,25655,Wells Fargo Home Mortgage,375236.00,46973.00,6.692,2301.82,2015-05-09,2025-05-09,2018-03-05,2018-04-04,CLOSED,0,COMPLETE,FIRST
L000120,B1185,Patricia Smith,,JUMBO,CASH_OUT_REFINANCE,LA,78662,JPMorgan Chase Bank,221790.00,174627.39,5.478,1113.72,2017-10-11,2037-10-11,2019-09-24,2019-10-24,CURRENT,37,COMPLETE,SECOND
